Date,Sales,Revenue,AvgOrder,List_Of_Items
2023-11-01,13,996.75,76.67,"Smartwatch, Tablet, Headphones"
2023-11-02,16,1043.67,65.23,"Laptop, Smartphone"
2023-11-03,1,94.14,94.14,"Laptop, Printer"
2023-11-04,4,250.12,62.53,"Headphones, Laptop, Smartwatch"
2023-11-05,4,335.48,83.87,"Printer, Headphones, Smartphone"
2023-11-06,8,724.17,90.52,"Smartwatch, Printer"
2023-11-07,10,716.07,71.61,"Smartwatch, Headphones, Laptop"
2023-11-08,19,1664.53,87.61,"Printer, Smartwatch, Laptop"
2023-11-09,5,457.4,91.48,"Smartwatch, Printer, Camera"
2023-11-10,7,482.66,68.95,"Printer, Camera, Smartwatch"
2023-11-11,13,712.76,54.83,"Laptop, Camera, Headphones"
2023-11-12,2,125.61,62.81,"Tablet, Headphones"
2023-11-13,7,557.18,79.6,"Smartphone, Camera"
2023-11-14,8,590.59,73.82,"Headphones, Camera, Smartphone"
2023-11-15,15,1115.95,74.4,"Tablet, Printer, Camera"
2023-11-16,18,1312.66,72.93,"Camera, Tablet, Smartwatch"
2023-11-17,6,457.38,76.23,"Camera, Monitor, Headphones"
2023-11-18,14,1009.41,72.1,"Laptop, Printer"
2023-11-19,9,833.69,92.63,"Smartwatch, Smartphone"
2023-11-20,10,716.72,71.67,"Smartwatch, Tablet, Camera"
2023-11-21,17,1552.84,91.34,"Monitor, Camera, Tablet"
2023-11-22,6,452.8,75.47,"Tablet, Smartwatch"
2023-11-23,16,869.1,54.32,"Headphones, Monitor, Laptop"
2023-11-24,16,1328.03,83,"Laptop, Printer"
2023-11-25,1,60.33,60.33,"Camera, Headphones"
2023-11-26,19,1754.91,92.36,"Smartwatch, Smartphone, Monitor"
2023-11-27,4,336.27,84.07,"Camera, Headphones"
2023-11-28,18,1060.53,58.92,"Monitor, Tablet"
2023-11-29,15,802.39,53.49,"Smartphone, Smartwatch, Laptop"
2023-11-30,8,403.88,50.48,"Monitor, Camera, Tablet"
2023-12-01,1,94.6,94.6,"Headphones, Tablet, Smartphone"
2023-12-02,2,113.35,56.67,"Smartphone, Tablet"
2023-12-03,10,889.6,88.96,"Tablet, Headphones, Printer"
2023-12-04,1,96.26,96.26,"Headphones, Smartphone"
2023-12-05,11,943.35,85.76,"Tablet, Printer, Smartwatch"
2023-12-06,4,298.16,74.54,"Laptop, Smartphone"
2023-12-07,12,881.7,73.47,"Headphones, Smartphone"
2023-12-08,19,1788.57,94.14,"Laptop, Monitor, Headphones"
2023-12-09,3,223.26,74.42,"Monitor, Smartwatch"
2023-12-10,1,70.73,70.73,"Smartphone, Camera, Tablet"
2023-12-11,1,58.71,58.71,"Printer, Monitor, Laptop"
2023-12-12,5,368.82,73.76,"Tablet, Smartwatch"
2023-12-13,6,535.09,89.18,"Monitor, Tablet"
2023-12-14,7,544.75,77.82,"Monitor, Laptop"
2023-12-15,9,521.94,57.99,"Smartwatch, Laptop, Tablet"
2023-12-16,18,1029.45,57.19,"Printer, Smartwatch"
2023-12-17,16,1319.57,82.47,"Camera, Smartphone"
2023-12-18,5,384.81,76.96,"Tablet, Laptop, Monitor"
2023-12-19,10,662.84,66.28,"Smartphone, Printer, Laptop"
2023-12-20,11,630.86,57.35,"Smartwatch, Camera, Printer"
2023-12-21,2,115.99,57.99,"Tablet, Smartphone"
2023-12-22,2,112.94,56.47,"Smartphone, Tablet"
2023-12-23,8,631.57,78.95,"Monitor, Smartphone"
2023-12-24,10,546.13,54.61,"Smartwatch, Printer, Monitor"
2023-12-25,4,382.11,95.53,"Smartwatch, Camera, Tablet"
2023-12-26,7,379.04,54.15,"Printer, Tablet"
2023-12-27,12,1080.23,90.02,"Laptop, Headphones"
2023-12-28,15,1407.85,93.86,"Tablet, Monitor, Laptop"
2023-12-29,19,1038.79,54.67,"Tablet, Smartphone, Monitor"
2023-12-30,1,71.32,71.32,"Smartphone, Headphones, Camera"
